iteration,layer1,layer2,momentum,learning rate
1,4,4,0.3,0.3
2,5,4,0.3,0.3
3,6,4,0.3,0.3
4,4,5,0.3,0.3
5,5,5,0.3,0.3
6,6,5,0.3,0.3
7,4,6,0.3,0.3
8,5,6,0.3,0.3
9,6,6,0.3,0.3
10,4,4,0.6,0.3
11,5,4,0.6,0.3
12,6,4,0.6,0.3
13,4,5,0.6,0.3
14,5,5,0.6,0.3
15,6,5,0.6,0.3
16,4,6,0.6,0.3
17,5,6,0.6,0.3
18,6,6,0.6,0.3
19,4,4,0.9,0.3
20,5,4,0.9,0.3
21,6,4,0.9,0.3
22,4,5,0.9,0.3
23,5,5,0.9,0.3
24,6,5,0.9,0.3
25,4,6,0.9,0.3
26,5,6,0.9,0.3
27,6,6,0.9,0.3
28,4,4,0.3,0.6
29,5,4,0.3,0.6
30,6,4,0.3,0.6
31,4,5,0.3,0.6
32,5,5,0.3,0.6
33,6,5,0.3,0.6
34,4,6,0.3,0.6
35,5,6,0.3,0.6
36,6,6,0.3,0.6
37,4,4,0.6,0.6
38,5,4,0.6,0.6
39,6,4,0.6,0.6
40,4,5,0.6,0.6
41,5,5,0.6,0.6
42,6,5,0.6,0.6
43,4,6,0.6,0.6
44,5,6,0.6,0.6
45,6,6,0.6,0.6
46,4,4,0.9,0.6
47,5,4,0.9,0.6
48,6,4,0.9,0.6
49,4,5,0.9,0.6
50,5,5,0.9,0.6
51,6,5,0.9,0.6
52,4,6,0.9,0.6
53,5,6,0.9,0.6
54,6,6,0.9,0.6
55,4,4,0.3,0.9
56,5,4,0.3,0.9
57,6,4,0.3,0.9
58,4,5,0.3,0.9
59,5,5,0.3,0.9
60,6,5,0.3,0.9
61,4,6,0.3,0.9
62,5,6,0.3,0.9
63,6,6,0.3,0.9
64,4,4,0.6,0.9
65,5,4,0.6,0.9
66,6,4,0.6,0.9
67,4,5,0.6,0.9
68,5,5,0.6,0.9
69,6,5,0.6,0.9
70,4,6,0.6,0.9
71,5,6,0.6,0.9
72,6,6,0.6,0.9
73,4,4,0.9,0.9
74,5,4,0.9,0.9
75,6,4,0.9,0.9
76,4,5,0.9,0.9
77,5,5,0.9,0.9
78,6,5,0.9,0.9
79,4,6,0.9,0.9
80,5,6,0.9,0.9
81,6,6,0.9,0.9
